The power Details of router and TSV links ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
 at 4000,,,,,,,,,,,,,,,,,,,,,,,
Router-16,0.0267068+0.000461574+0.00141479,0.0285832,,,,,,,,,,,,,,,,,,,,,
Router-17,0.0267068+0.000449736+0.00141479,0.0285714,,,,,,,,,,,,,,,,,,,,,
Router-18,0.0267068+0.000451482+0.00141479,0.0285731,,,,,,,,,,,,,,,,,,,,,
Router-19,0.0267068+0.00038719+0.00141479,0.0285088,,,,,,,,,,,,,,,,,,,,,
Router-20,0.0267068+0.000419581+0.00141479,0.0285412,,,,,,,,,,,,,,,,,,,,,
Router-21,0.0267068+0.000465491+0.00141479,0.0285871,,,,,,,,,,,,,,,,,,,,,
Router-22,0.0267068+0.000394705+0.00141479,0.0285163,,,,,,,,,,,,,,,,,,,,,
Router-23,0.0267068+0.000380654+0.00141479,0.0285023,,,,,,,,,,,,,,,,,,,,,
Router-24,0.0267068+0.000394621+0.00141479,0.0285162,,,,,,,,,,,,,,,,,,,,,
Router-25,0.0267068+0.00040951+0.00141479,0.0285311,,,,,,,,,,,,,,,,,,,,,
Router-26,0.0267068+0.000501737+0.00141479,0.0286234,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Internal Reports:,,,,,,,,,,,,,,,,,,,,,,,
Total Number of Detected Flits:		10300 ( Header: 2062 ),,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
 at 9000,,,,,,,,,,,,,,,,,,,,,,,
 ,9000,,,,,,,,,,,,,,,,,,,,,,
Router-0,0.0267068+0.000627718+0.000848878,0.0281834,,,,,,,,,,,,,,,,,,,,,
Router-1,0.0267068+0.000702817+0.000848879,0.0282585,,,,,,,,,,,,,,,,,,,,,
Router-2,0.0267068+0.000717939+0.000848878,0.0282736,,,,,,,,,,,,,,,,,,,,,
Router-3,0.0267068+0.000608956+0.000848878,0.0281647,,,,,,,,,,,,,,,,,,,,,
Router-4,0.0267068+0.00077179+0.00141479,0.0288934,,,,,,,,,,,,,,,,,,,,,
Router-5,0.0267068+0.000711388+0.00141479,0.028833,,,,,,,,,,,,,,,,,,,,,
Router-6,0.0267068+0.000750716+0.00141479,0.0288723,,,,,,,,,,,,,,,,,,,,,
Router-7,0.0267068+0.000865308+0.00141479,0.0289869,,,,,,,,,,,,,,,,,,,,,
Router-8,0.0267068+0.000734466+0.00141479,0.0288561,,,,,,,,,,,,,,,,,,,,,
Router-9,0.0267068+0.000718359+0.00141479,0.02884,,,,,,,,,,,,,,,,,,,,,
Router-10,0.0267068+0.000769691+0.00141479,0.0288913,,,,,,,,,,,,,,,,,,,,,
Router-11,0.0267068+0.000682524+0.00141479,0.0288041,,,,,,,,,,,,,,,,,,,,,
Router-12,0.0267068+0.000440466+0.00141479,0.0285621,,,,,,,,,,,,,,,,,,,,,
Router-13,0.0267068+0.000424273+0.00141479,0.0285459,,,,,,,,,,,,,,,,,,,,,
Router-14,0.0267068+0.000463184+0.00141479,0.0285848,,,,,,,,,,,,,,,,,,,,,
Router-15,0.0267068+0.000391161+0.00141479,0.0285128,,,,,,,,,,,,,,,,,,,,,
Router-16,0.0267068+0.000454617+0.00141479,0.0285762,,,,,,,,,,,,,,,,,,,,,
Router-17,0.0267068+0.000438638+0.00141479,0.0285603,,,,,,,,,,,,,,,,,,,,,
Router-18,0.0267068+0.000459285+0.00141479,0.0285809,,,,,,,,,,,,,,,,,,,,,
Router-19,0.0267068+0.000445268+0.00141479,0.0285669,,,,,,,,,,,,,,,,,,,,,
Router-20,0.0267068+0.000417669+0.00141479,0.0285393,,,,,,,,,,,,,,,,,,,,,
Router-21,0.0267068+0.000465499+0.00141479,0.0285871,,,,,,,,,,,,,,,,,,,,,
Router-22,0.0267068+0.000415384+0.00141479,0.028537,,,,,,,,,,,,,,,,,,,,,
Router-23,0.0267068+0.000410741+0.00141479,0.0285324,,,,,,,,,,,,,,,,,,,,,
Router-24,0.0267068+0.000395892+0.00141479,0.0285175,,,,,,,,,,,,,,,,,,,,,
Router-25,0.0267068+0.000409524+0.00141479,0.0285311,,,,,,,,,,,,,,,,,,,,,
Router-26,0.0267068+0.000479057+0.00141479,0.0286007,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Internal Reports:,,,,,,,,,,,,,,,,,,,,,,,
Total Number of Detected Flits:		11646 ( Header: 2332 ),,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
 at 4000,,,,,,,,,,,,,,,,,,,,,,,
 ,4000,,,,,,,,,,,,,,,,,,,,,,
Router-0,0.0267068+0.00247763+0.00084888,0.0300333,,,,,,,,,,,,,,,,,,,,,
Router-1,0.0267068+0.00246218+0.000848881,0.0300179,,,,,,,,,,,,,,,,,,,,,
Router-2,0.0267068+0.00245154+0.000848881,0.0300072,,,,,,,,,,,,,,,,,,,,,
Router-3,0.0267068+0.00246197+0.00084888,0.0300177,,,,,,,,,,,,,,,,,,,,,
Router-4,0.0267068+0.00292688+0.0014148,0.0310485,,,,,,,,,,,,,,,,,,,,,
Router-5,0.0267068+0.0026824+0.0014148,0.030804,,,,,,,,,,,,,,,,,,,,,
Router-6,0.0267068+0.00258391+0.0014148,0.0307055,,,,,,,,,,,,,,,,,,,,,
Router-7,0.0267068+0.0030484+0.0014148,0.03117,,,,,,,,,,,,,,,,,,,,,
Router-8,0.0267068+0.00289257+0.0014148,0.0310142,,,,,,,,,,,,,,,,,,,,,
Router-9,0.0267068+0.00261044+0.00141479,0.0307321,,,,,,,,,,,,,,,,,,,,,
Router-10,0.0267068+0.00275989+0.0014148,0.0308815,,,,,,,,,,,,,,,,,,,,,
Router-11,0.0267068+0.00278693+0.0014148,0.0309086,,,,,,,,,,,,,,,,,,,,,
Router-12,0.0267068+0.00171774+0.00141479,0.0298394,,,,,,,,,,,,,,,,,,,,,
Router-13,0.0267068+0.00152696+0.00141479,0.0296486,,,,,,,,,,,,,,,,,,,,,
Router-14,0.0267068+0.00163717+0.00141479,0.0297588,,,,,,,,,,,,,,,,,,,,,
Router-15,0.0267068+0.00164838+0.00141479,0.02977,,,,,,,,,,,,,,,,,,,,,
Router-16,0.0267068+0.00151909+0.00141479,0.0296407,,,,,,,,,,,,,,,,,,,,,
Router-17,0.0267068+0.00142358+0.00141479,0.0295452,,,,,,,,,,,,,,,,,,,,,
Router-18,0.0267068+0.00178836+0.00141479,0.02991,,,,,,,,,,,,,,,,,,,,,
Router-19,0.0267068+0.00153992+0.00141479,0.0296615,,,,,,,,,,,,,,,,,,,,,
Router-20,0.0267068+0.00162399+0.00141479,0.0297456,,,,,,,,,,,,,,,,,,,,,
Router-21,0.0267068+0.00160044+0.00141479,0.0297221,,,,,,,,,,,,,,,,,,,,,
Router-22,0.0267068+0.0015472+0.00141479,0.0296688,,,,,,,,,,,,,,,,,,,,,
Router-23,0.0267068+0.00155681+0.00141479,0.0296784,,,,,,,,,,,,,,,,,,,,,
Router-24,0.0267068+0.00161567+0.00141479,0.0297373,,,,,,,,,,,,,,,,,,,,,
Router-25,0.0267068+0.00166522+0.00141479,0.0297868,,,,,,,,,,,,,,,,,,,,,
Router-26,0.0267068+0.00164662+0.00141479,0.0297682,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
