The power Details of router and TSV links ,,,
,,,
	 ,,,
 	 at 4000,,,
  	 ,,,
power time ,,,
Router-18,0.0267068+0.00604601+0.0014148,0.0341676,34.1676
Router-19,0.0267068+0.00534954+0.0014148,0.0334712,33.4712
Router-20,0.0267068+0.00536823+0.0014148,0.0334899,33.4899
Router-21,0.0267068+0.00580924+0.0014148,0.0339309,33.9309
Router-22,0.0267068+0.0055942+0.0014148,0.0337158,33.7158
Router-23,0.0267068+0.00581304+0.0014148,0.0339347,33.9347
Router-24,0.0267068+0.00582351+0.0014148,0.0339451,33.9451
Router-25,0.0267068+0.00569216+0.0014148,0.0338138,33.8138
Router-26,0.0267068+0.00534714+0.0014148,0.0334688,33.4688
,,,0
Internal Reports:,,,0
Total Number of Detected Flits:		67860 ( Header: 13575 ),,,0
,,,0
	 ,,,0
 	 at 6000,,,0
  	 ,,,0
power time ,,,0
,6000,,0
Router-0,0.0267068+0.00584412+0.000848897,0.0333998,33.3998
Router-1,0.0267068+0.0062409+0.000848899,0.0337966,33.7966
Router-2,0.0267068+0.00627807+0.0008489,0.0338338,33.8338
Router-3,0.0267068+0.00578362+0.000848896,0.0333393,33.3393
Router-4,0.0267068+0.00726023+0.00141481,0.0353819,35.3819
Router-5,0.0267068+0.00676554+0.00141481,0.0348872,34.8872
Router-6,0.0267068+0.00622905+0.00141481,0.0343507,34.3507
Router-7,0.0267068+0.00711711+0.00141481,0.0352388,35.2388
Router-8,0.0267068+0.00704632+0.00141481,0.035168,35.168
Router-9,0.0267068+0.00650763+0.00141481,0.0346293,34.6293
Router-10,0.0267068+0.00671486+0.00141481,0.0348365,34.8365
Router-11,0.0267068+0.00675289+0.00141481,0.0348745,34.8745
Router-12,0.0267068+0.00414314+0.0014148,0.0322648,32.2648
Router-13,0.0267068+0.00381601+0.0014148,0.0319376,31.9376
Router-14,0.0267068+0.00403965+0.0014148,0.0321613,32.1613
Router-15,0.0267068+0.00416694+0.0014148,0.0322886,32.2886
